From,To,length,well,inverse_rho_Ca,Al2O3,Au,CaO,Cr,Cr2O3,Cu,Fe2O3,FeO,GR,IPlin161,IPlin1610,IPlin641,IPlin6410,K,K2O,Litho,MagSusc,Mg,MgO,MnO,N16,N32,N64,N8,Na2O,Ni,P2O5,rho_ND,S,SP,Th,TiO2,U,Vp,Vs,Sc,SPR,caliper,Co,Ba,SiO2
432.8,434.4,1.6,2,,0.34135,0.007,3.25528,,4.29501,1.79598,1.337,0.482889,0.594428,85.8995,40.09,107.124,47.7059,0.0480517,0.34062,M1Cb,0.467941,,0.401542,1.58858,5330.34,7966.55,8504.38,3258.83,1.53551,,343.802,2.6743,5.25536,62.955,0.328173,-0.448808,0.208094,5758.32,3147.26,,1384.13,,,,                            
434.4,435.4,1,2,Inverse relationship,-0.135861,0.007,1.99908,,2.38496,1.41397,1.31492,0.468881,0.385846,87.2024,39.9832,111.035,47.3675,0.0138407,-1,M1Cb,0.500819,,1.33133,1.46755,5333.1,8096.34,9250.27,3247.02,-0.748314,,192.951,2.732,3.3983,58.05,0.379575,-0.793303,0.154922,6074.84,3524.07,,1375.67,,,,                            
435.4,436.4,1,2,Direct relationship,-0.108223,0.005,4.63008,,2.62473,1.67522,1.32878,0.477677,0.276632,87.1521,39.1906,111.072,45.7821,0.021913,-1,M1Cb,0.389149,,1.33486,1.88357,5275.84,8046.89,9424.05,3211.55,-0.808239,,737.861,2.7398,5.03195,46.35,0.22714,-0.763775,0.0758323,6107.3,3535.62,,1362.54,,,,                            
436.4,438.2,1.8,2,Inverse relationship,0.315555,0.012,7.07312,,4.63489,0.853149,1.49513,0.583225,0.517342,82.8952,34.8645,104.091,41.9552,0.0324561,                           ,M1Cb,0.402085,,1.22973,2.89769,4655.16,6720.31,7266.63,2928.41,-0.888139,,516.203,2.7194,7.21016,134.963,0.29017,-0.586606,0.141593,6006.27,3424.65,,1295.13,,,,                            
438.2,439.4,1.2,2,Direct relationship,0.252239,0.006,2.0581,,3.03956,0.11721,1.15068,0.364665,0.887712,84.0422,37.1298,107.098,45.6017,0.0335997,                           ,M1TC,0.529111,,0.234187,1.07751,4667.63,6471.35,6171.68,2986.34,-0.87797,,610.24,2.6262,2.19876,108.705,0.520695,-0.3987,0.227115,5552.65,2934.55,,1335.53,,,,                            
439.4,441.4,2,2,Direct relationship,0.233479,0,2.55654,,2.95174,1.92603,1.11036,0.339078,0.555702,88.6345,42.0224,112.614,51.0155,0.0436575,0.0968708,M1TC,0.496738,,0.197042,1.5302,5352.71,7998.21,8589.22,3274.34,0.220297,,375.147,2.6667,2.19876,42.975,0.428793,-0.0980495,0.181281,5747.19,3120.29,,1392.68,,,,                            
441.4,442.4,1,2,Inverse relationship,0.322004,0.02,6.52346,,3.62866,2.87698,1.20865,0.401447,0.791729,89.8715,43.8794,116.182,52.5647,0.0413754,2.01639,M1TC,0.371547,,0.105526,3.66834,5642.63,8750.38,10212,3387.6,3.94983,,516.203,2.6347,6.03728,-13.35,0.42679,-0.173212,0.155551,5585.34,2972.82,,1410.95,,,,                            
442.4,445.4,3,2,Inverse relationship,0.515468,0.006,4.23035,,4.1519,2.21863,1.68457,0.703433,0.561687,88.9423,41.1777,114.039,48.9462,0.0173887,0.508197,M1TC,0.467911,,0.705246,2.41233,5314.45,8177.03,9785.29,3219.66,1.26518,,451.552,2.7137,5.15762,30.88,0.18789,-0.586606,0.08549,5974.58,3284.38,,1361.24,,,,                            
445.4,447.4,2,2,Direct relationship,0.415869,0.018,2.70562,,3.40058,2.25114,1.66968,0.693986,0.679166,87.998,39.3693,114.221,47.4455,0.0383984,                           ,M1TC,0.521045,,0.654903,1.96402,4929.95,7230.13,7890.65,3067.53,-0.925426,,458.736,2.6193,6.8192,70.14,0.428969,-0.632539,0.160204,5503.45,2818.26,,1335.04,,,,                            
447.4,448.4,1,2,Inverse relationship,0.521916,0,2.44739,,3.62866,0.609314,1.94332,0.867619,0.67906,88.1975,40.3673,112.786,48.415,0.0309334,0.508197,M1TC,0.520065,,0.977096,2.14557,5082.65,7530.12,8253.33,3136.92,-0.412732,,63.6503,2.6334,5.15762,48.87,0.380573,-0.483258,0.185695,5576.67,2869.14,,1351.91,,,,                            
